,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
192,0.975148697,0.95385206,0.954527145,0.977934341,0.977643292,0.944101181,0.948611713,0.940420752,0.852923619,0.977054358
193,0.971370829,0.936704644,0.941266962,0.972667498,0.96651694,0.934188968,0.946829235,0.943085889,0.852136647,0.971291117
194,0.977804618,0.94215431,0.94406463,0.976420383,0.974414551,0.941853945,0.954277699,0.95632342,0.848922701,0.977711518
195,0.972521357,0.940459555,0.933758702,0.974045028,0.970914822,0.931780928,0.94502197,0.937230419,0.854118771,0.970448823
196,0.96633022,0.942445371,0.939116855,0.970340743,0.973951082,0.936423527,0.945121591,0.94412471,0.844082138,0.969423426
197,0.968949989,0.944352407,0.939593754,0.969674795,0.968424559,0.937440825,0.943842935,0.944101536,0.851304305,0.969174726
198,0.966636876,0.938810072,0.940273949,0.966670106,0.963808469,0.930910696,0.941343218,0.942447531,0.850790872,0.964566766
199,0.969462125,0.942369518,0.942839568,0.973783035,0.971537943,0.93876608,0.94829845,0.940679628,0.863620817,0.968159753
200,0.752780446,0.674308058,0.640617109,0.636605695,0.644062977,0.633165826,0.615805943,0.614800568,0.662778459,0.664243061
201,0.743973432,0.730214546,0.619129038,0.65347984,0.637217126,0.623871463,0.526597422,0.527781728,0.658238683,0.655022948
202,0.734446585,0.7381559,0.677487884,0.718012266,0.749453181,0.63689249,0.534596363,0.488813763,0.699017698,0.685880021
203,0.780556955,0.737496518,0.64823119,0.73055198,0.760674907,0.70282051,0.542066072,0.505719667,0.693569845,0.701646225
204,0.794669314,0.735491697,0.658582627,0.764090997,0.776895014,0.722843992,0.595844659,0.51059493,0.704638139,0.731791331
205,0.853018758,0.833949359,0.699387405,0.836479751,0.832850787,0.793741048,0.773385836,0.698494983,0.774942474,0.827425764
206,0.919172889,0.877986377,0.798944412,0.890893448,0.888420669,0.850951134,0.806989824,0.765527285,0.83357167,0.889364093
207,0.939128913,0.887703395,0.810749741,0.894766989,0.898501466,0.87643533,0.838914781,0.780234183,0.860755848,0.907988029
208,0.941369194,0.886038014,0.812288302,0.902650195,0.895287852,0.891248812,0.85053331,0.80731163,0.86141292,0.914324357
209,0.92543719,0.870381756,0.812565539,0.88905962,0.893994644,0.878523982,0.854492596,0.816944854,0.850347518,0.912712279
