,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,SS-ARFre,OALE,CALMID
211,0.97633531,0.887613985,0.959882671,0.976224291,0.965547277,0.897999173,0.910943979,0.87590065,0.889872903,0.958518763
212,0.977997352,0.925506394,0.962086855,0.978260445,0.976265459,0.918735983,0.925624274,0.899532537,0.915650691,0.973174723
213,0.983406611,0.92985839,0.967766719,0.979834375,0.981800824,0.911855923,0.922431377,0.900597504,0.908740406,0.968683934
214,0.976195724,0.919832649,0.954820446,0.973725739,0.974016837,0.899263888,0.922378336,0.900479847,0.902480798,0.968298965
215,0.982417481,0.919395565,0.957570245,0.974529693,0.972206396,0.917545678,0.92521726,0.89952135,0.909834899,0.975322446
216,0.970701869,0.921828167,0.96074139,0.982345319,0.973763437,0.910515029,0.919726299,0.901283032,0.903503831,0.966732957
217,0.979434087,0.931009455,0.965612553,0.985873295,0.977800913,0.936519371,0.939619585,0.919904648,0.914851354,0.975744436
218,0.982585934,0.939858834,0.973839677,0.983910729,0.982664311,0.940186422,0.953966656,0.933003105,0.926776719,0.980775667
219,0.985831516,0.94151069,0.975772338,0.988076889,0.984331258,0.944621173,0.952927468,0.935305118,0.926681449,0.979147543
220,0.986483294,0.941357972,0.972937337,0.98778364,0.984686908,0.950789796,0.951167849,0.937164018,0.926274901,0.975318513
221,0.979575487,0.933928564,0.955178769,0.98706808,0.974005118,0.940228705,0.938900015,0.928542955,0.911770381,0.974519431
