,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,SS-ARFre,OALE,CALMID
187,0.959410157,0.924358426,0.929523759,0.962052364,0.962765361,0.929211493,0.92719761,0.922185548,0.826917771,0.959444113
188,0.968794295,0.930253699,0.940576206,0.961196917,0.964026233,0.933153023,0.932906043,0.929940098,0.833393613,0.964372891
189,0.973187867,0.933455659,0.940913087,0.967289911,0.965308237,0.937551869,0.937829045,0.935053841,0.851908529,0.963265604
190,0.963382195,0.925890866,0.936605423,0.965598254,0.963821754,0.933888651,0.935901742,0.929353321,0.848834374,0.962324055
191,0.956601871,0.917909057,0.929878839,0.95903764,0.961379484,0.924790065,0.925524294,0.924121753,0.833287942,0.954989533
192,0.976840817,0.927851655,0.948261489,0.968839675,0.970152103,0.939478886,0.941313415,0.938166451,0.850316199,0.967197746
193,0.954301437,0.910333277,0.920200464,0.957747571,0.9614474,0.92358429,0.927753419,0.922035279,0.819311158,0.951316641
194,0.965090712,0.930723597,0.936721907,0.967576642,0.969975112,0.936993573,0.936909832,0.931969813,0.831991291,0.962044489
195,0.966582618,0.91864817,0.934159416,0.963350609,0.962383907,0.934400747,0.935673944,0.934455669,0.847548124,0.961898632
196,0.974489817,0.934239183,0.938997609,0.971385846,0.9682623,0.937859827,0.941082028,0.937034749,0.841948489,0.966374306
197,0.962953781,0.918729652,0.931298324,0.96724531,0.964729511,0.933092555,0.935303174,0.935459159,0.845794027,0.962166771
198,0.967632787,0.936471217,0.94319583,0.9673785,0.969322472,0.940617572,0.942708389,0.94024479,0.839293622,0.96879187
199,0.96127231,0.913187745,0.923822882,0.954228143,0.958987946,0.927582838,0.926006113,0.925110229,0.83156379,0.954953746
200,0.737675641,0.602161205,0.609452999,0.581659587,0.612049973,0.567239133,0.573737219,0.551295595,0.655261871,0.581541184
201,0.741203846,0.752951891,0.590694352,0.678180924,0.686960987,0.667038095,0.567920517,0.578692583,0.688950531,0.660898945
202,0.775487245,0.787473604,0.566643801,0.740878581,0.757751126,0.703871455,0.524346327,0.531644645,0.698679152,0.70794685
203,0.831169824,0.812145721,0.60666211,0.770973154,0.799453109,0.764471855,0.515379355,0.531034947,0.747492511,0.755727575
204,0.855679657,0.797653735,0.582991538,0.76108084,0.76551479,0.75755909,0.518258443,0.527864137,0.745877832,0.771636262
205,0.901898341,0.804545595,0.608234427,0.795398985,0.788711868,0.774789312,0.607755725,0.533411161,0.761052522,0.817960241
206,0.917947126,0.839755312,0.678787465,0.84248226,0.852904086,0.814029434,0.739170141,0.57671111,0.816291963,0.866841051
207,0.922720298,0.857008713,0.704132645,0.856439625,0.870422394,0.821134319,0.773837924,0.696250598,0.817664793,0.889482428
208,0.932045408,0.874433435,0.728633845,0.890151483,0.872790862,0.833841743,0.823020886,0.769267509,0.831668065,0.901560551
209,0.952935602,0.909866018,0.773809499,0.90916675,0.909620924,0.866983413,0.844496842,0.810881983,0.858142448,0.922421773
210,0.955140556,0.927113658,0.794320557,0.918275119,0.925190244,0.894220442,0.882904092,0.854393234,0.881411894,0.939215636
211,0.964207345,0.935333287,0.817401236,0.937482086,0.936582048,0.912567146,0.903299429,0.87255116,0.888646329,0.950250592
212,0.965676465,0.944253167,0.844651407,0.945537279,0.941112824,0.927829836,0.904337574,0.888208878,0.893512131,0.959398421
213,0.968105528,0.951013832,0.862091973,0.953784216,0.949576168,0.935390475,0.913720752,0.889426968,0.893203071,0.962012531
214,0.975159559,0.963538132,0.877063332,0.95960604,0.960309414,0.944161791,0.928374974,0.91275669,0.916848734,0.971413952
215,0.977308855,0.957733596,0.882528882,0.958432221,0.951187097,0.944745853,0.923140878,0.912896951,0.913332382,0.971061568
216,0.972882191,0.94668344,0.89030618,0.954037212,0.950687312,0.937905396,0.921526855,0.910377061,0.905382708,0.969377599
217,0.967125593,0.951122919,0.875671276,0.945050614,0.95590257,0.937807176,0.92235293,0.914789346,0.904189989,0.964191443
218,0.978335696,0.956145447,0.89190397,0.958924097,0.95404856,0.945276329,0.927309246,0.916324317,0.911287699,0.973546419
219,0.97765,0.956908911,0.898022848,0.957831575,0.957340167,0.947229453,0.920336175,0.910552112,0.905116479,0.972995764
220,0.97825736,0.955267799,0.900111212,0.964095203,0.967266634,0.944454559,0.929490375,0.92868171,0.91843005,0.971699242
221,0.976572259,0.950155898,0.902715303,0.961315694,0.963338376,0.939861044,0.92351867,0.917065618,0.904176313,0.971541791
