,LB,BOLE,MOOB,ARF,ARFre,VU-LB,SS-ARF,VU-ARFre,OALE,CALMID
34,0.999192916,0.993221963,0.996083498,0.997973099,0.996594114,0.995221222,0.996631131,0.997561873,0.97992326,0.996453971
35,0.997035527,0.99713176,0.998136725,0.999072991,0.998715642,0.99692987,0.997413098,0.997731843,0.987395768,0.998094522
36,0.997240875,0.996691212,0.996721013,0.998797506,0.997827379,0.996932931,0.99743742,0.997832394,0.989864785,0.997586682
37,0.99694442,0.997862921,0.994495981,0.998638131,0.999114729,0.997426755,0.997862784,0.997503299,0.990257651,0.998469166
38,0.999750163,0.997436291,0.998247059,0.999456524,0.999482028,0.998116515,0.999070377,0.998920721,0.989389034,0.998859968
39,0.999769915,0.998360966,0.996887423,0.999620023,0.999322642,0.998546124,0.998919126,0.998769206,0.992324348,0.999307196
40,0.999189202,0.997353598,0.99688109,0.999398474,0.999519852,0.998221946,0.998649046,0.998721973,0.988673095,0.998865475
41,0.999443153,0.997832275,0.998763855,0.999464803,0.998151471,0.99828538,0.998760168,0.999175698,0.991517339,0.999140652
42,0.998566325,0.99835826,0.998767838,0.999704917,0.999462277,0.998532353,0.999038937,0.998919065,0.988589071,0.998514346
43,0.999359485,0.997980878,0.996312652,0.998877879,0.998976609,0.997209107,0.998007954,0.998023646,0.987537037,0.998583208
44,0.999603355,0.997544798,0.997586233,0.999178078,0.999334078,0.998245408,0.999021134,0.998360843,0.988684115,0.999038433
45,0.999484078,0.998785598,0.999210604,0.999568434,0.999080237,0.998366012,0.999132794,0.998006814,0.990517132,0.998961305
46,0.998221888,0.997291332,0.996105532,0.999325613,0.99931134,0.997416189,0.998908943,0.999538417,0.987958377,0.999295031
47,0.998767105,0.997927967,0.998908188,0.998593981,0.998047633,0.997718156,0.997844997,0.997682493,0.992064379,0.998509557
48,0.996996497,0.997670847,0.997627507,0.999080365,0.998953416,0.996824811,0.997841271,0.997270232,0.98427602,0.998576598
49,0.999683431,0.999440823,0.998753707,0.999386169,0.999445732,0.997585664,0.999073196,0.999211347,0.992417183,0.999239559
50,0.999765545,0.999274613,0.996771616,0.999723993,0.999684701,0.998967136,0.999353388,0.999277982,0.989286816,0.999706374
51,0.999396179,0.998973142,0.998004563,0.999327654,0.998972829,0.997396656,0.998914764,0.998453134,0.987317629,0.998688416
52,0.999697859,0.998803713,0.998227191,0.998961953,0.998926493,0.998985898,0.998323183,0.998492372,0.989820569,0.999069106
53,0.998839469,0.997876887,0.99650355,0.999368627,0.999227038,0.996927936,0.998012957,0.998397761,0.987836117,0.998655119
54,0.998871974,0.999044278,0.998336481,0.999303664,0.999245281,0.998543891,0.99822679,0.999030743,0.988799487,0.999364751
55,0.999520032,0.999303698,0.999122295,0.999691467,0.999752889,0.998746817,0.999327564,0.999435506,0.989885024,0.99958888
56,0.999204775,0.998901276,0.998385036,0.9985141,0.99926748,0.998076637,0.998557836,0.99883551,0.98886308,0.999310487
57,0.999555235,0.998811645,0.997982889,0.999309442,0.998797568,0.998720087,0.998712369,0.998561527,0.988179525,0.999385753
58,0.999152834,0.997773146,0.998521365,0.999652365,0.999289958,0.996682142,0.998666431,0.999099056,0.987111239,0.998370852
59,0.999792324,0.99947728,0.9989468,0.998456136,0.999470696,0.998654362,0.999007224,0.999238433,0.992714007,0.999671026
60,0.999507524,0.999112362,0.998825825,0.999444236,0.999620372,0.998356914,0.999141346,0.999277531,0.992514593,0.999435196
61,0.99769549,0.998055609,0.997759601,0.999376237,0.998265029,0.998407715,0.998922458,0.997890137,0.990774517,0.998382412
62,0.999698089,0.999292522,0.998323146,0.999863142,0.999841833,0.998956003,0.999042319,0.998237832,0.992793762,0.999440789
63,0.998677871,0.998679181,0.997266063,0.99934365,0.996072735,0.99899588,0.998283611,0.99826947,0.989309482,0.999535602
64,0.999369613,0.999280589,0.999082043,0.999648404,0.999489421,0.999192093,0.999223624,0.999292202,0.990359934,0.999554676
65,0.997645307,0.999357591,0.999771332,0.99987782,0.999764247,0.999020244,0.999530215,0.999455432,0.993257208,0.999772605
66,0.998726119,0.99848848,0.997792964,0.997746312,0.999111224,0.997599772,0.997636345,0.999218337,0.991580325,0.999013569
67,0.999831273,0.999168876,0.999324806,0.998872907,0.997047259,0.999370906,0.998801844,0.99929959,0.99158993,0.999791127
68,0.999529528,0.998756164,0.998757304,0.999695835,0.99879479,0.99869719,0.998734709,0.998719821,0.987904298,0.999463606
69,0.997825926,0.998119382,0.9979454,0.999531863,0.999517171,0.997932056,0.998793605,0.998228038,0.991945522,0.999473377
70,0.993777176,0.998127825,0.99649031,0.999205119,0.996889074,0.99625611,0.998267733,0.999165111,0.987580801,0.997964556
71,0.999812203,0.997713773,0.999659006,0.999161441,0.999704967,0.998556134,0.999202469,0.995877374,0.989461485,0.999475445
72,0.999881272,0.999383991,0.998675617,0.9996663,0.999722109,0.99858889,0.999318873,0.999606897,0.989243097,0.999507931
73,0.999537159,0.997978927,0.99881999,0.99946409,0.999177616,0.997704391,0.998421512,0.99656899,0.987793961,0.998856719
74,0.999830157,0.999421987,0.999371301,0.99972247,0.999649602,0.999268905,0.999406662,0.999105654,0.993882028,0.999751707
75,0.999297224,0.999513804,0.999444462,0.9992734,0.999419408,0.99877334,0.998952531,0.999386964,0.991884385,0.998746714
76,0.999781963,0.998872426,0.998756464,0.999639171,0.999728732,0.997744085,0.999276324,0.999213995,0.991209578,0.999247556
77,0.99964508,0.999327719,0.999587375,0.999640736,0.999576576,0.997979882,0.999544831,0.999165943,0.988781895,0.99929202
78,0.999818102,0.998863196,0.998967788,0.999282318,0.999827768,0.99944552,0.999590186,0.999558919,0.992510035,0.999815143
79,0.999877889,0.999349631,0.998556152,0.999804834,0.999498252,0.999733687,0.999631241,0.999678122,0.991967554,0.999816213
80,0.999183004,0.998090825,0.998703223,0.999537494,0.999722836,0.99732526,0.998441438,0.998723341,0.989006353,0.998976372
81,0.999662026,0.999718891,0.999399768,0.999784077,0.999802532,0.99883079,0.999169656,0.999331582,0.991820428,0.999644471
82,0.999910479,0.99993561,0.999657384,0.999832086,0.99984211,0.999786794,0.999813144,0.999877061,0.993526615,0.999906121
83,0.996924903,0.999590258,0.998920492,0.999635565,0.999522259,0.998247952,0.999215011,0.998885127,0.990704557,0.999663733
84,0.999491512,0.999062251,0.998112317,0.999393015,0.999658476,0.998318977,0.998851283,0.999500605,0.99188383,0.998211536
85,0.999929077,0.999673146,0.999625843,0.999700734,0.999904735,0.999639693,0.999535501,0.999713224,0.993912951,0.999763079
86,0.999668953,0.998786038,0.999613225,0.999708933,0.999381896,0.998978179,0.998918775,0.999278161,0.993898251,0.999362756
87,0.998586795,0.999516208,0.997289491,0.999409246,0.999012152,0.998389951,0.998256272,0.998235659,0.989684872,0.999466408
88,0.999749456,0.999615527,0.998140351,0.999637975,0.999682209,0.999164695,0.999147827,0.998752124,0.992756581,0.999694738
89,0.999611153,0.999444529,0.999599396,0.999537412,0.998916436,0.997825312,0.998986044,0.999547413,0.989636597,0.999317076
90,0.999798323,0.999540064,0.998493189,0.999413574,0.999776707,0.999304943,0.999404526,0.999629867,0.991821092,0.999764303
91,0.999501219,0.998423052,0.999049945,0.999709283,0.999669322,0.99874799,0.999084522,0.999608977,0.990466686,0.999337846
92,0.999739083,0.999361216,0.998139179,0.999411542,0.999210853,0.998848485,0.998836945,0.998975054,0.991298289,0.999740453
93,0.997138246,0.999463377,0.999461986,0.999682919,0.998691945,0.99868517,0.998850672,0.998932461,0.992828945,0.999133436
94,0.999608573,0.999119499,0.999026761,0.997293658,0.999764742,0.998722312,0.998794807,0.999420417,0.994245078,0.99920187
95,0.999851028,0.99925391,0.999154844,0.999664296,0.999369511,0.998553946,0.999407129,0.999018013,0.993396208,0.999590318
96,0.998587626,0.998327841,0.997459528,0.999831012,0.999890946,0.998106988,0.99954162,0.999833076,0.994237567,0.99945733
97,0.994568888,0.998653919,0.995589205,0.99828885,0.99853433,0.997005418,0.997964304,0.99901127,0.984929726,0.998618107
