,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
797,0.720527281,0.702308876,0.720929745,0.696701607,0.701403161,0.701929203,0.702728017,0.703146275,0.695390953,0.720791091
798,0.722095345,0.705838168,0.721535714,0.707925241,0.70427749,0.70560957,0.706516803,0.713151285,0.709917968,0.721542787
799,0.733273407,0.712008913,0.732916187,0.711979178,0.720443832,0.714439911,0.72160233,0.723259532,0.721292415,0.732837689
800,0.733299708,0.715427372,0.733073563,0.716817124,0.72024593,0.715149124,0.722732693,0.724015905,0.722647418,0.733022723
801,0.720949587,0.70099897,0.720310277,0.697776126,0.711384344,0.7059767,0.706135043,0.708304975,0.70325032,0.72128497
802,0.690280048,0.667057222,0.713128974,0.671756098,0.677321765,0.666908793,0.689217845,0.6791826,0.678514695,0.675405235
803,0.730820734,0.721461194,0.732022279,0.726678494,0.726580807,0.715563829,0.730341292,0.726974487,0.716896913,0.73077623
804,0.731527012,0.710923084,0.732519858,0.730024782,0.729016494,0.716397087,0.731082261,0.727770037,0.716179794,0.732607364
805,0.747296773,0.730180017,0.764971033,0.686949075,0.694178856,0.675532768,0.708570363,0.681131035,0.715940005,0.746752298
806,0.722131784,0.707918913,0.720977253,0.701877587,0.707692791,0.694233785,0.691984147,0.683759189,0.711453754,0.72064683
807,0.72195649,0.707657545,0.721976378,0.700612088,0.70496737,0.696701753,0.694290398,0.692905796,0.711887084,0.721063094
808,0.712445689,0.69649955,0.721182642,0.659123154,0.665946833,0.667521341,0.680478404,0.663431689,0.692648385,0.712342621
809,0.721811233,0.707523995,0.721255243,0.691666831,0.694858657,0.705867015,0.700281383,0.701145549,0.708561141,0.72109267
810,0.72208201,0.706374781,0.721862568,0.700698718,0.700142265,0.704420606,0.702538868,0.706615855,0.71114663,0.722006706
811,0.733282883,0.717439522,0.732658333,0.713290024,0.718315782,0.715016734,0.719786065,0.720498143,0.719975569,0.732930861
812,0.721652567,0.699914219,0.72156229,0.696294637,0.699705249,0.706211294,0.709985647,0.711793469,0.707097902,0.721374853
813,0.722070479,0.705479447,0.721994433,0.701521722,0.70742427,0.705118658,0.70769723,0.713525098,0.711049898,0.722102524
814,0.722211301,0.703210818,0.72045996,0.703788898,0.709122742,0.706574392,0.710319088,0.71147868,0.708705967,0.721807224
