,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
339,0.737593477,0.735605674,0.726711084,0.74109706,0.748985005,0.735150538,0.723920331,0.729410448,0.739962878,0.747059664
340,0.750153846,0.747519983,0.734217643,0.753531287,0.754143787,0.743193109,0.735439277,0.738634483,0.745587412,0.753721833
341,0.769638065,0.723206426,0.830035944,0.767143565,0.763765347,0.774620258,0.768335763,0.784519859,0.82490811,0.812887647
342,0.8170495,0.808723201,0.831805146,0.820512235,0.828057088,0.772130213,0.77956335,0.788701575,0.803020638,0.80885538
343,0.835256301,0.833521835,0.836878995,0.841957355,0.83468309,0.818008647,0.801667663,0.78853351,0.817188975,0.830268542
344,0.838282462,0.834423597,0.826884951,0.84380751,0.842441562,0.82910992,0.818832051,0.817930597,0.822605292,0.835802719
345,0.844846317,0.814869675,0.828034402,0.844535512,0.848121247,0.829938382,0.826319637,0.829996387,0.830297051,0.839749471
346,0.843586999,0.817353425,0.833104467,0.841903708,0.842340511,0.825747947,0.822066625,0.82902757,0.826965681,0.842005193
347,0.844840752,0.823247828,0.842307039,0.842720549,0.844186018,0.838002657,0.831237807,0.829550924,0.840533375,0.849275552
348,0.849866449,0.838173683,0.836533701,0.849306908,0.845919543,0.832837086,0.834811668,0.830034324,0.836209814,0.849848048
349,0.844504308,0.818495067,0.837031393,0.842313286,0.840559164,0.822328276,0.817236737,0.823769844,0.829087024,0.840245089
350,0.846130456,0.828847032,0.839389071,0.842336773,0.847578861,0.821070664,0.832756467,0.840794214,0.835132151,0.845826297
351,0.843783658,0.827079008,0.841154613,0.841225766,0.842867519,0.827286961,0.827713141,0.822184719,0.835997895,0.848586128
352,0.840140158,0.819429351,0.840949405,0.841618014,0.841075456,0.82849099,0.828276039,0.839675292,0.835769444,0.848636036
353,0.839701452,0.833155766,0.844496469,0.84281418,0.847842924,0.836244039,0.835085091,0.834710602,0.836837587,0.848341406
354,0.844866864,0.822968315,0.837133546,0.844947024,0.8431242,0.828734484,0.830424135,0.830150577,0.838247225,0.846487377
355,0.850972536,0.847435948,0.843972405,0.847287691,0.846869528,0.828210454,0.830824622,0.820020788,0.841191345,0.849791671
356,0.846879077,0.831989162,0.843539155,0.8481604,0.850638891,0.828684031,0.833273914,0.829664673,0.837791483,0.848985915
357,0.835188898,0.798932718,0.836306692,0.840855574,0.84323218,0.821509662,0.815094796,0.80841464,0.818489772,0.838646406
