,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,FU-ARFre,OALE,CALMID
47,0.997934751,0.997442013,0.99834838,0.999111215,0.99850774,0.99513424,0.997698477,0.998687264,0.984779517,0.999389878
48,0.998688344,0.996874671,0.998919433,0.999605973,0.99916421,0.994985356,0.998565214,0.998556364,0.98986209,0.99919379
49,0.995816321,0.9962793,0.995577858,0.995864643,0.999275611,0.994829904,0.997479039,0.998698677,0.986300896,0.997781039
50,0.997501565,0.99754584,0.997050159,0.999138415,0.998757259,0.995097015,0.997133781,0.997492037,0.986048587,0.997673522
51,0.999148819,0.998573838,0.995836034,0.999568492,0.996031227,0.996310908,0.99603724,0.992859664,0.988920211,0.999639824
52,0.999285831,0.9991038,0.997704744,0.999298326,0.999648515,0.997092002,0.998295953,0.998806385,0.988721876,0.999578762
53,0.998551173,0.998173079,0.993573907,0.999557522,0.999247386,0.995141851,0.997543488,0.996196062,0.987744611,0.998679657
54,0.99923653,0.998109305,0.999045133,0.999533813,0.999900324,0.996517712,0.999437894,0.999196048,0.988586273,0.999785509
55,0.999318318,0.998307409,0.999450696,0.999455949,0.998835527,0.996945159,0.997774647,0.9976052,0.989998994,0.999549996
56,0.999510084,0.999179515,0.999156139,0.999669655,0.999164499,0.997172175,0.999149509,0.998880306,0.9932337,0.999844826
57,0.994362999,0.995416127,0.993806327,0.998536341,0.994824613,0.991901797,0.994765442,0.998245544,0.982017038,0.997597097
58,0.999415721,0.998002112,0.99910118,0.999387359,0.999677504,0.996370397,0.997813625,0.998977375,0.985523437,0.998855731
59,0.998864815,0.997093674,0.998608636,0.999577558,0.999241499,0.99558987,0.999199679,0.998224489,0.988664495,0.999445548
60,0.995716372,0.998936216,0.998483928,0.998757776,0.999259177,0.993423615,0.997692632,0.998270353,0.98620381,0.998649497
61,0.998323298,0.999120957,0.998853604,0.999607596,0.999523728,0.995799853,0.999038767,0.999270067,0.990371208,0.999525862
62,0.999074657,0.99923967,0.997767226,0.999760945,0.999548963,0.996900399,0.999217466,0.998703533,0.993111685,0.999419138
63,0.999359562,0.998878913,0.9993697,0.999577918,0.999344081,0.997895612,0.998911007,0.998755185,0.989801127,0.999152727
64,0.99675006,0.996615372,0.997681022,0.999635612,0.999520183,0.997403936,0.999288014,0.999585038,0.987654893,0.999337584
65,0.998239417,0.997525598,0.997197877,0.999876462,0.999651257,0.996439315,0.999639291,0.999544318,0.992253889,0.999648698
66,0.999393784,0.999179994,0.99704788,0.999309566,0.999597527,0.99585995,0.999006591,0.999568438,0.986918705,0.999555169
67,0.99888244,0.998716948,0.999323784,0.999864836,0.99981026,0.998287661,0.999554645,0.999544716,0.991789924,0.99973452
68,0.997758102,0.99854532,0.999269082,0.999529449,0.999329981,0.996324594,0.998327191,0.995688641,0.988626809,0.99890835
69,0.999614432,0.9993158,0.998215676,0.999687254,0.999723266,0.997263644,0.99690225,0.994864695,0.990304779,0.998858567
70,0.998848075,0.998155852,0.999067168,0.999699808,0.999802496,0.997736776,0.999026322,0.999546284,0.991343827,0.998750651
71,0.992739079,0.998032474,0.997887647,0.999599892,0.999340577,0.995756071,0.99920652,0.998509427,0.989861219,0.99956089
72,0.99850736,0.998172207,0.99865201,0.999153249,0.999364744,0.996794971,0.996872291,0.998108055,0.988868496,0.999596571
73,0.997976558,0.998777941,0.99919829,0.998751535,0.999652094,0.997538526,0.998325902,0.998971262,0.989777696,0.999730236
74,0.999722632,0.999356194,0.999536052,0.999823683,0.999798049,0.998830552,0.999753977,0.999577666,0.992692036,0.999878212
75,0.999437431,0.99786569,0.999076206,0.998931562,0.999503875,0.996735117,0.998614466,0.999371722,0.989386116,0.999404715
76,0.999574615,0.999019499,0.999207036,0.999566814,0.99964432,0.998560401,0.998790935,0.997906547,0.991337842,0.999805352
77,0.99600501,0.999021557,0.998600917,0.999056068,0.998066474,0.995332102,0.997783823,0.998210216,0.984352961,0.998890895
