,LB,BOLE,MOOB,ARF,ARFre,SS-LB,RVU-ARF,VU-ARFre,OALE,CALMID
246,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
247,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
248,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
249,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
250,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
251,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
252,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
253,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
254,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
255,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
256,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
257,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
258,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
259,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
260,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
261,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
262,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
263,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
264,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
265,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
266,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
267,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
268,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
269,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
270,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
271,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
272,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
273,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
274,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
275,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
276,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
277,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
278,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
279,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
280,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
281,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
282,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
283,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
284,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
285,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
286,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
287,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
288,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
289,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
