,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,VU-ARFre,OALE,CALMID
173,0.995731513,0.967991135,0.989114475,0.987372015,0.983075773,0.982760088,0.983244884,0.974928826,0.946273429,0.994051681
174,0.993177893,0.95583511,0.988917633,0.979160019,0.980102076,0.977144683,0.977965676,0.966963873,0.936457874,0.987204195
175,0.994561203,0.965735512,0.991728239,0.987864845,0.983067625,0.983514336,0.982949377,0.974700998,0.943054847,0.994588087
176,0.991660341,0.967522481,0.993018482,0.984954225,0.981728049,0.984964588,0.980238678,0.975099789,0.951618283,0.994176206
177,0.990476693,0.9569638,0.985408318,0.978254016,0.981734282,0.972110378,0.972627317,0.974069401,0.93394686,0.989372983
178,0.995558193,0.961386722,0.990114711,0.980978425,0.983738938,0.980572871,0.978210871,0.968568712,0.939416164,0.994076182
179,0.992375191,0.954476611,0.990603691,0.979737781,0.98212167,0.975517761,0.976322447,0.97174868,0.938020439,0.991494378
180,0.990857005,0.957950286,0.987757833,0.985129425,0.986290001,0.978488544,0.973581786,0.973209735,0.933622572,0.990854989
181,0.99502613,0.961705213,0.991998028,0.986274894,0.987315599,0.980032314,0.982502933,0.975645461,0.936624577,0.993484638
182,0.995095333,0.957672453,0.992050822,0.979346418,0.984953334,0.977655956,0.978377983,0.980233433,0.930796673,0.992973195
183,0.989698657,0.96373526,0.98723497,0.979534263,0.988373387,0.981499872,0.978740765,0.976168297,0.942343447,0.992316193
184,0.994746718,0.955676925,0.989398236,0.98064409,0.985258541,0.978132203,0.976321148,0.973448081,0.932056054,0.991289191
185,0.990190272,0.95944874,0.991377091,0.986063152,0.985390158,0.978225289,0.979399028,0.970933632,0.937302426,0.989179236
186,0.992238704,0.964190805,0.99105368,0.980683322,0.977657483,0.979866517,0.977532826,0.973459486,0.940806798,0.990685942
187,0.991976752,0.96261623,0.986588512,0.983044447,0.981591169,0.97812239,0.977773964,0.975873256,0.933670923,0.994208015
188,0.993336581,0.970721666,0.990111382,0.985484197,0.988229001,0.977381915,0.980474124,0.975040501,0.932809374,0.99081388
189,0.994517281,0.971057557,0.990909649,0.987451437,0.987223232,0.978599642,0.981875422,0.975684333,0.927937245,0.99168756
190,0.994469198,0.97804557,0.993761424,0.987070319,0.991237837,0.983773447,0.982191467,0.9737971,0.944076119,0.995107191
191,0.987574593,0.965777314,0.983808256,0.986192072,0.979250975,0.977225266,0.97785444,0.976936219,0.930561181,0.989844447
192,0.991930622,0.974841035,0.991871274,0.985714422,0.984521335,0.979894988,0.982471577,0.979956498,0.93316491,0.994340079
193,0.994854305,0.970194927,0.989849782,0.987470466,0.985169708,0.978620653,0.978527603,0.976174514,0.943898188,0.99041888
194,0.996210171,0.97252729,0.990853209,0.988058575,0.984264396,0.980608806,0.982660571,0.978845474,0.932606892,0.994607427
195,0.994267337,0.97588009,0.991506082,0.992349474,0.9909157,0.980650693,0.985004151,0.980995084,0.929543144,0.994447312
196,0.979425021,0.961125951,0.978483768,0.969518983,0.976263913,0.965821133,0.969383407,0.968484595,0.918495806,0.978246605
197,0.91002952,0.871647612,0.834733582,0.813657444,0.814604453,0.833886559,0.795112152,0.817171696,0.832606301,0.864199396
198,0.934471414,0.904316456,0.830630978,0.842688934,0.841186184,0.887789725,0.847068214,0.849084341,0.886591855,0.928148329
199,0.955100131,0.928475741,0.843109831,0.877851945,0.861442597,0.911579373,0.88972386,0.860747305,0.904290998,0.941488976
200,0.950320327,0.90305412,0.870915261,0.908839718,0.902630042,0.923139562,0.90024714,0.903376393,0.91454927,0.947304838
201,0.974425474,0.921718357,0.88129208,0.940459073,0.932141033,0.93098396,0.914031978,0.910415353,0.928557004,0.956141213
202,0.962755826,0.912156702,0.887754151,0.934185002,0.922735938,0.928912767,0.909076225,0.907241404,0.91845085,0.957913214
