,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
311,0.974432342,0.925209781,0.967017631,0.874015357,0.912382847,0.963532964,0.953770879,0.952548125,0.936211565,0.976767919
312,0.950589075,0.888024506,0.940814506,0.82168805,0.823434842,0.943642418,0.936644497,0.936426982,0.922939304,0.956540225
313,0.937307138,0.79443203,0.928635472,0.84941495,0.852128213,0.931762003,0.916086083,0.907375418,0.913801842,0.947373573
314,0.936577495,0.837852628,0.928284155,0.891090764,0.860131253,0.922621955,0.898727742,0.900194236,0.907941403,0.940710788
315,0.929401821,0.825281425,0.922214244,0.875958009,0.869875652,0.91881132,0.87627884,0.887761988,0.896092756,0.939218449
316,0.942322961,0.820105345,0.938565201,0.909866286,0.907738705,0.91794438,0.88401314,0.892068229,0.897234104,0.940663032
317,0.957714172,0.869551114,0.95644313,0.944381895,0.950477589,0.945255172,0.91142972,0.919020246,0.92308713,0.962920798
318,0.965268758,0.908888035,0.965836517,0.965010456,0.962794313,0.949020875,0.921431144,0.919920242,0.933892935,0.966752087
319,0.981373269,0.931562652,0.975260408,0.982232087,0.985015152,0.965413015,0.944897717,0.941599607,0.954109308,0.980350772
320,0.978727261,0.931063628,0.973323501,0.982211331,0.985902411,0.964732402,0.950171109,0.945055677,0.947835687,0.978976277
321,0.984273734,0.946961133,0.978473013,0.983911776,0.990001092,0.970568873,0.95749371,0.959166865,0.957021988,0.983053907
322,0.977580928,0.93808576,0.972252383,0.984797915,0.986759636,0.970634499,0.953089581,0.954229594,0.955084965,0.982230304
323,0.979656313,0.954482494,0.972660977,0.988354994,0.983722721,0.973408499,0.962420497,0.952205898,0.955381063,0.983433865
324,0.981206842,0.953643304,0.982977063,0.981671029,0.982788536,0.978281938,0.961194279,0.959984066,0.963140618,0.985879158
325,0.987994444,0.967843035,0.980502303,0.986575475,0.985536581,0.983741651,0.971312699,0.966370112,0.96945885,0.990730162
326,0.995802418,0.974455807,0.993374501,0.995862959,0.993437147,0.991424724,0.986255817,0.983214103,0.980389937,0.995634465
327,0.992719996,0.979434262,0.996735921,0.993954698,0.993805768,0.991930263,0.988258442,0.985674481,0.983827335,0.995119088
328,0.996556388,0.985942472,0.996995277,0.996710988,0.994669659,0.993679635,0.989146456,0.989517706,0.98445383,0.995933859
329,0.998001686,0.988993831,0.997993261,0.99754452,0.997418161,0.995376141,0.990735503,0.992690928,0.983459953,0.997878111
330,0.99647051,0.987311904,0.996668348,0.996750867,0.994080215,0.993231912,0.991822006,0.990549743,0.98470608,0.996468803
331,0.9982752,0.991035009,0.995440375,0.998018357,0.996776668,0.995753945,0.993423288,0.991803281,0.985609065,0.997811238
332,0.997051625,0.989891421,0.994501106,0.997673334,0.996908752,0.99526429,0.993985022,0.993669605,0.98434586,0.997753179
333,0.999398352,0.992353255,0.997818812,0.998082606,0.998092128,0.997822504,0.995615317,0.997317653,0.990633346,0.998952738
334,0.998168522,0.995833377,0.998045264,0.997110318,0.998620879,0.997051786,0.996437313,0.997223183,0.989231979,0.9982945
335,0.997028804,0.99563943,0.997185625,0.998005082,0.997324984,0.996960293,0.995603188,0.995164547,0.984507714,0.998289537
336,0.997631175,0.991442766,0.997619584,0.998259851,0.997756112,0.996686843,0.9959641,0.994562257,0.986051386,0.998274239
337,0.998098644,0.996391569,0.997521155,0.998664671,0.998700798,0.997808871,0.997063651,0.99618601,0.991557675,0.998811176
338,0.997321252,0.993038872,0.997055137,0.997372689,0.997586693,0.996311166,0.995435402,0.995373897,0.987070541,0.9982487
339,0.998909603,0.994471827,0.998459419,0.998476287,0.997966714,0.99757999,0.997809245,0.997890694,0.983592494,0.998926957
340,0.997064345,0.996839761,0.997359094,0.998068434,0.998139912,0.995935768,0.996120162,0.994573766,0.983629445,0.99841175
341,0.998807274,0.996496295,0.998687105,0.997668654,0.999158371,0.996066172,0.997705035,0.997229572,0.988662555,0.998371163
342,0.995947398,0.99289655,0.997933964,0.998510587,0.997977589,0.995946501,0.996351713,0.994438094,0.984369291,0.997604218
343,0.998848437,0.995237608,0.99830407,0.999270151,0.998738557,0.998510969,0.997679553,0.997892171,0.98424248,0.999303282
344,0.999082334,0.9981493,0.998984386,0.998741638,0.998844336,0.998972334,0.998579593,0.998790571,0.98935136,0.999351143
345,0.998140824,0.994021126,0.997403137,0.997655746,0.998020193,0.99669528,0.996183986,0.996524322,0.982451843,0.998389263
346,0.999108559,0.997403628,0.998875086,0.999583215,0.999056692,0.998593814,0.998265148,0.99858552,0.98585692,0.999127037
347,0.997432869,0.995637846,0.998177025,0.999228396,0.999104611,0.997930961,0.998190239,0.998489586,0.985682559,0.999114723
348,0.99772598,0.995161948,0.996924114,0.997777,0.998079372,0.997098747,0.997925009,0.996458682,0.987665374,0.998081686
349,0.998735881,0.994506184,0.997229252,0.999332562,0.998819738,0.998054154,0.997168425,0.995264875,0.984980485,0.998547376
350,0.997944392,0.996150156,0.997912993,0.998239957,0.99837356,0.997631382,0.997692778,0.996907499,0.98594797,0.998806244
351,0.99784612,0.995182111,0.997078308,0.998027779,0.999124054,0.99666884,0.997700317,0.996841648,0.987730545,0.998353748
352,0.998686998,0.996375522,0.995941816,0.998208023,0.999182395,0.998703481,0.998540593,0.99780744,0.988053696,0.998917238
353,0.997353555,0.997709005,0.997942899,0.999286383,0.998440316,0.99844223,0.998064217,0.996998299,0.983856331,0.998950659
354,0.998016596,0.995436954,0.996948709,0.997926142,0.998214063,0.997625239,0.998079773,0.996521078,0.987997333,0.998045772
355,0.998584862,0.997168743,0.996977054,0.998912753,0.998655261,0.99814789,0.998323583,0.997011492,0.987055488,0.998902154
356,0.998126214,0.995512736,0.995422335,0.997672397,0.998653453,0.99730396,0.997654742,0.997690751,0.982517848,0.998221083
357,0.999218994,0.998279448,0.998685278,0.999271531,0.998486467,0.99864097,0.998480837,0.997881159,0.987360713,0.999187993
358,0.997237548,0.997374766,0.99649357,0.998174691,0.99876709,0.997853892,0.997234133,0.996886035,0.982287377,0.998372923
359,0.998602272,0.996249707,0.998659077,0.997779065,0.999047813,0.998175065,0.997609458,0.997040524,0.983506369,0.998540046
360,0.99776218,0.996890288,0.997697541,0.998212783,0.998152416,0.998129886,0.997548339,0.998665309,0.985849045,0.998799599
361,0.999119968,0.997931078,0.997253591,0.999530566,0.99901397,0.998916678,0.998575537,0.99834412,0.986924778,0.998896798
362,0.999761344,0.998584114,0.99889836,0.999143823,0.997932952,0.998743867,0.99875635,0.99807253,0.981714187,0.999401686
363,0.99845827,0.997408106,0.99763147,0.998811141,0.997659445,0.997120002,0.997712816,0.996810733,0.983215659,0.999054024
364,0.998351133,0.996036511,0.997884619,0.999462384,0.997822585,0.99795927,0.998080842,0.99787929,0.977843039,0.998755086
365,0.998793517,0.997893692,0.998783007,0.998625595,0.999115797,0.99864583,0.997994787,0.997756754,0.989780571,0.999006797
366,0.997988844,0.994971973,0.996759626,0.997737908,0.997603692,0.997772943,0.997524645,0.996154313,0.98145942,0.99830279
367,0.9952156,0.996930218,0.996664432,0.998028157,0.998455894,0.99679768,0.997613741,0.996296722,0.980518662,0.998036782
368,0.998319444,0.998606106,0.998147999,0.999173784,0.99897225,0.99833054,0.998568762,0.998319742,0.98653985,0.999082228
369,0.998866285,0.997563692,0.997812964,0.998747603,0.998713271,0.9978171,0.99825574,0.997744969,0.98515074,0.998757327
370,0.998637727,0.997635362,0.998326942,0.9986862,0.998081123,0.998253675,0.997906898,0.997793857,0.980401108,0.998876515
371,0.998933316,0.997131261,0.998106232,0.99879762,0.999100853,0.998293775,0.998442043,0.997802429,0.985728111,0.99869009
372,0.998543186,0.99776226,0.998364178,0.998895171,0.998967215,0.99843479,0.998694461,0.998566764,0.984774142,0.999129378
373,0.997317107,0.994390263,0.995292922,0.996831444,0.996241873,0.995881144,0.997036398,0.996331244,0.976702301,0.997728194
374,0.999182111,0.998519373,0.997149181,0.998417071,0.999206386,0.998752854,0.998325978,0.998483057,0.981985745,0.999147313
375,0.998850543,0.997308216,0.995956055,0.999474437,0.998570955,0.997842937,0.997867453,0.997393147,0.979913291,0.998845532
376,0.997099613,0.995378926,0.997428282,0.997631484,0.997057035,0.995673966,0.997494263,0.995717675,0.978882374,0.997944099
377,0.997749232,0.996729237,0.998477289,0.997933329,0.998297595,0.997949919,0.998628855,0.998340427,0.983909491,0.998822999
