,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,SS-ARFre,OALE,CALMID
154,0.972858968,0.967019148,0.954781438,0.943369267,0.938970897,0.953427753,0.929398321,0.909346256,0.943700777,0.980810981
155,0.982981736,0.976684437,0.957539002,0.936715139,0.947572795,0.959591215,0.933969734,0.919253155,0.948338659,0.985984197
156,0.979456863,0.969519796,0.945128909,0.937278873,0.938678131,0.952213167,0.929369899,0.909465143,0.942981524,0.979721112
157,0.982115211,0.971600538,0.947459663,0.928865978,0.933763458,0.951592078,0.92796864,0.914909742,0.932262974,0.982633726
158,0.970848453,0.966969777,0.944561379,0.938146953,0.928273098,0.946791047,0.924265552,0.909047435,0.931039119,0.975666937
159,0.981397489,0.970850237,0.947499029,0.93320618,0.935273328,0.955249017,0.927498676,0.919818622,0.939364122,0.980932519
160,0.974131126,0.969229397,0.949743945,0.943188031,0.948946521,0.958917225,0.928946134,0.931197426,0.944174126,0.978463335
161,0.975883847,0.966251552,0.957417818,0.953981684,0.946672181,0.959665263,0.934900653,0.931204291,0.940176766,0.98112421
162,0.978343194,0.97612441,0.957279029,0.954499491,0.950264872,0.957982176,0.925533406,0.917925309,0.938717439,0.980074604
163,0.977201674,0.970478126,0.948820979,0.950587229,0.959720749,0.957963917,0.934158673,0.928654833,0.939132535,0.977815632
164,0.983967537,0.978766787,0.958458948,0.962958379,0.960084364,0.967717058,0.933753099,0.938650028,0.954709749,0.98582172
165,0.986505809,0.979601687,0.959453866,0.963402109,0.957368701,0.972197905,0.941292023,0.932623349,0.952618484,0.991187116
166,0.986782822,0.980554006,0.956622734,0.957803876,0.951653598,0.972552043,0.946778563,0.937936901,0.944790189,0.988657488
167,0.987298503,0.980142503,0.961377237,0.957623879,0.96355957,0.975331776,0.94248039,0.941122979,0.951264024,0.988671382
168,0.982010303,0.969069733,0.959765702,0.952596603,0.959346475,0.954515387,0.931533969,0.929464282,0.936191165,0.975223527
169,0.982868118,0.971754738,0.96641322,0.961137917,0.961676739,0.956536369,0.936780386,0.93861004,0.9445366,0.97260761
170,0.982689737,0.980180663,0.969902503,0.967427126,0.962369374,0.969799699,0.937266992,0.944429046,0.94413611,0.982705811
171,0.978297763,0.975195436,0.961463622,0.956570374,0.960526883,0.955539681,0.931597662,0.932561577,0.938978779,0.974402865
172,0.985692036,0.980842994,0.971425025,0.970898043,0.970988878,0.959216976,0.951664753,0.944419786,0.947113277,0.975574404
173,0.988580361,0.986031924,0.970397621,0.971652234,0.966035153,0.960072822,0.95055045,0.944883363,0.947638535,0.9774572
174,0.98225463,0.979116602,0.976267447,0.966620022,0.967727298,0.960794901,0.946302352,0.949198214,0.951029813,0.979071685
175,0.988563219,0.982309614,0.980240081,0.973238744,0.970505862,0.964644467,0.954415988,0.9514977,0.953699535,0.977311793
176,0.982458162,0.98115746,0.973631785,0.972408628,0.973321206,0.957417121,0.953422794,0.949793196,0.94894878,0.979896192
177,0.985834946,0.981612672,0.976476057,0.972771707,0.96146097,0.96232141,0.953199987,0.948696892,0.951550742,0.976562468
178,0.977506894,0.976290664,0.969432749,0.962531929,0.960615966,0.960824254,0.949964768,0.943567976,0.946314788,0.978355107
179,0.979464216,0.980601943,0.979010828,0.967190098,0.969472803,0.953421357,0.953965664,0.950608959,0.954629269,0.973819705
180,0.975598072,0.985484749,0.973471375,0.965513802,0.970191843,0.970661058,0.951827567,0.951624046,0.960599188,0.983011701
181,0.967684219,0.973726508,0.972669621,0.963013504,0.962329011,0.955364433,0.950034951,0.94831645,0.951514627,0.975132109
182,0.977011478,0.986576206,0.972957056,0.971593606,0.979075274,0.973773657,0.961990892,0.963682278,0.961616556,0.987681667
183,0.973648846,0.981870821,0.977652794,0.970477277,0.980249226,0.970826245,0.959987947,0.964017565,0.955469174,0.985042537
184,0.983308829,0.984855169,0.980690354,0.977817269,0.977305135,0.972797571,0.966027775,0.966821321,0.962967971,0.98657663
185,0.983845898,0.988718093,0.982707923,0.978433098,0.982815039,0.980238652,0.969174483,0.970644127,0.968473718,0.988248607
186,0.98359532,0.98727729,0.976243869,0.977842535,0.978589154,0.979846581,0.969161783,0.971305978,0.965088125,0.987903263
187,0.966256326,0.976964079,0.951678728,0.956800521,0.955562168,0.958144875,0.9455634,0.948934246,0.943147542,0.973218913
188,0.952914667,0.965624468,0.948417258,0.96215415,0.957882519,0.940972551,0.94210503,0.942816871,0.935269504,0.95897053
189,0.976844601,0.985058332,0.972544162,0.97777822,0.977967925,0.971624062,0.969117663,0.971101737,0.963404629,0.982227658
190,0.989275433,0.993103874,0.990953838,0.993210079,0.989340085,0.987041679,0.986788071,0.985390853,0.976448977,0.992125871
191,0.993339421,0.996536285,0.995100559,0.994280552,0.996113687,0.993144423,0.991079704,0.992048836,0.986796595,0.996920701
192,0.996853028,0.995083945,0.997240229,0.997346518,0.997923513,0.993602378,0.994289161,0.995033996,0.989792134,0.996255648
193,0.9871978,0.994049261,0.994153962,0.992000824,0.993338081,0.986767362,0.989421446,0.991215591,0.980950668,0.992346251
194,0.997955747,0.995983664,0.99533118,0.997223302,0.997311054,0.992893891,0.993205862,0.993970797,0.987167994,0.996819126
195,0.995186277,0.996493919,0.998269777,0.998179469,0.998055951,0.993952306,0.996045264,0.996123768,0.989267237,0.996524062
196,0.99696834,0.995827129,0.99484978,0.996770395,0.996214126,0.991446004,0.993859356,0.993010017,0.981479171,0.994833316
197,0.995475496,0.996475814,0.996406964,0.997035454,0.996933814,0.995214612,0.99517177,0.994840827,0.989006448,0.996778288
198,0.992040362,0.993377136,0.995629555,0.994439213,0.994623622,0.990878114,0.991945106,0.990872851,0.981480546,0.995344525
199,0.992516839,0.992869392,0.993932222,0.993561125,0.992037563,0.98879347,0.99108055,0.989667329,0.980396341,0.994677923
200,0.984732484,0.9895506,0.993033988,0.987161511,0.990067231,0.986643497,0.988721516,0.985468774,0.973970815,0.992683912
201,0.988043281,0.987412555,0.989372818,0.962985746,0.963719039,0.982789219,0.984636413,0.982161157,0.97191906,0.988463263
202,0.98265038,0.984633156,0.989109037,0.928624779,0.879310619,0.982324689,0.981635436,0.978988414,0.974627433,0.990116092
203,0.986409334,0.981534047,0.980011315,0.939645251,0.918426984,0.974472775,0.972900722,0.968002575,0.963055995,0.985696859
204,0.988275564,0.987390927,0.984149124,0.957623517,0.946422819,0.982966724,0.97453422,0.967095039,0.968586733,0.990411645
205,0.987724293,0.986642823,0.98129931,0.956788864,0.953708302,0.980788581,0.97416584,0.95650928,0.967775574,0.989787988
206,0.991502863,0.989805827,0.984816052,0.971189097,0.962858102,0.986108639,0.979299181,0.962455211,0.97409704,0.990915391
207,0.992046603,0.989832276,0.980869491,0.965450882,0.968975691,0.98431146,0.974756642,0.950088539,0.968812048,0.991733711
208,0.989588092,0.987353793,0.980245936,0.96055726,0.960994744,0.978331527,0.967654443,0.933683393,0.961068197,0.987833838
209,0.98856022,0.98981318,0.985585383,0.966774407,0.970262154,0.983328419,0.975731344,0.95234662,0.969948558,0.990181109
210,0.994430994,0.99240521,0.987606501,0.982835947,0.984111307,0.988363173,0.979803924,0.959541355,0.978184611,0.994885439
211,0.991171272,0.988367475,0.979096771,0.968643325,0.97228097,0.981964529,0.972573446,0.955913542,0.971613777,0.987335013
212,0.993363671,0.988694088,0.987259998,0.972921674,0.972795933,0.986823862,0.97577975,0.958225106,0.972079239,0.993244021
213,0.990500349,0.989871721,0.981446526,0.962505014,0.966222639,0.983049044,0.972391686,0.956311642,0.966246197,0.991560125
214,0.989657054,0.991218867,0.982120891,0.967111084,0.965510844,0.985035103,0.972109392,0.954842409,0.969047145,0.991079889
215,0.988588295,0.984581999,0.980114885,0.960090704,0.960309815,0.979473656,0.967894268,0.953996742,0.965956243,0.989373888
216,0.982415351,0.986200653,0.972048733,0.947839935,0.941719505,0.971073013,0.954909779,0.937915063,0.949228755,0.987264205
217,0.976747821,0.975205145,0.963215503,0.932628199,0.939942797,0.961253784,0.943650332,0.924666785,0.939189557,0.977836993
218,0.966091128,0.972464538,0.948560065,0.901001019,0.909236908,0.94395819,0.916131695,0.893662173,0.915682407,0.973708804
219,0.961859183,0.972736451,0.945748976,0.856072827,0.886714658,0.943015527,0.914853842,0.895927355,0.921191395,0.971063626
220,0.960827027,0.971362616,0.934226191,0.822985189,0.863555163,0.939120873,0.895750174,0.880917936,0.910815051,0.970774943
221,0.962629841,0.962651536,0.934737496,0.869632973,0.844575546,0.924459703,0.855766609,0.867176463,0.898843957,0.971168663
222,0.957590585,0.963331304,0.92114191,0.904224041,0.886982784,0.9205321,0.842008701,0.858641488,0.898093027,0.964939457
223,0.959991161,0.964813184,0.924853629,0.893603886,0.902918377,0.927678065,0.842117015,0.865991849,0.898033385,0.969822418
