,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,VU-ARFre,OALE,CALMID
1283,0.879117842,0.883025523,0.881340567,0.881053163,0.881440937,0.863330759,0.870406925,0.873121427,0.864442206,0.875457917
1284,0.882741665,0.883968917,0.894970188,0.883719555,0.883437927,0.8631394,0.870271672,0.881704556,0.875695557,0.886123203
1285,0.883313365,0.88608828,0.881658889,0.885226281,0.885877464,0.873162603,0.871541173,0.882409789,0.869996472,0.878133664
1286,0.871867117,0.872469602,0.870166259,0.872671027,0.87178194,0.86273031,0.859960138,0.867964616,0.857203609,0.866922309
1287,0.871518326,0.873104272,0.869817882,0.872410238,0.870471687,0.863308286,0.86318273,0.868588966,0.86036442,0.868863767
1288,0.865259159,0.87185394,0.866763019,0.870746573,0.869854939,0.867659869,0.863482939,0.869033879,0.859211307,0.868479233
1289,0.861693412,0.872938944,0.868844961,0.8702736,0.870414968,0.864888281,0.861273613,0.87043036,0.86278034,0.867760846
1290,0.869081669,0.872314954,0.864095008,0.870511785,0.87175649,0.865300212,0.864213169,0.871469961,0.863452348,0.868253538
1291,0.86803822,0.872437437,0.860930233,0.872477153,0.8725122,0.86177746,0.863858648,0.86813891,0.861346839,0.865427736
1292,0.872850339,0.873064385,0.863029085,0.872841245,0.87234503,0.868689424,0.866503323,0.86829934,0.86616378,0.869891262
1293,0.871345756,0.872984979,0.863226207,0.872932517,0.872573558,0.869526854,0.870763232,0.870133973,0.865522626,0.871841449
1294,0.861706596,0.867041102,0.860631009,0.870813665,0.870328339,0.86749946,0.869295262,0.8679945,0.865733621,0.867372293
1295,0.858434693,0.86028146,0.852589211,0.860444321,0.860322782,0.858517292,0.859227542,0.859723254,0.857310341,0.857768286
1296,0.859417254,0.858893472,0.850907722,0.859433996,0.859670952,0.857896334,0.857608287,0.858581878,0.853939561,0.85837733
1297,0.854779909,0.859945473,0.850174215,0.859948855,0.85984208,0.857648492,0.857547866,0.857947089,0.854223796,0.857901785
1298,0.859905081,0.860484127,0.852159293,0.86011534,0.860153247,0.859387063,0.859800708,0.859656908,0.85564711,0.859822988
1299,0.859607569,0.860176049,0.853992096,0.860006325,0.859668975,0.859571619,0.860047853,0.859794052,0.856000678,0.859887027
1300,0.868780399,0.885265385,0.88996371,0.883576074,0.883119043,0.860444878,0.882333438,0.882812508,0.88629109,0.885066524
1301,0.869229601,0.88473666,0.881211463,0.886722101,0.886666698,0.867518498,0.876818044,0.877332884,0.881503961,0.880009725
1302,0.868875245,0.872945558,0.866529041,0.872913853,0.873021517,0.868285532,0.871654776,0.872284314,0.866448123,0.869448054
1303,0.872398622,0.873252173,0.866470999,0.872360269,0.872791998,0.870601367,0.871860747,0.872038197,0.866819222,0.871656492
1304,0.872400227,0.873044656,0.86250077,0.873159072,0.872653735,0.863971398,0.871245664,0.870875008,0.862551141,0.870208912
1305,0.868692253,0.872761264,0.865133245,0.873293671,0.87175015,0.862600278,0.870766411,0.871505492,0.861831796,0.864680579
1306,0.871248598,0.872775349,0.867114376,0.872217902,0.872343697,0.861153064,0.869937613,0.870170461,0.862964914,0.867480159
1307,0.869770443,0.870254887,0.861838757,0.872148759,0.871396471,0.854742011,0.86662674,0.86648891,0.856572705,0.862754401
1308,0.882089589,0.881845574,0.86850022,0.884253476,0.884939497,0.863969559,0.872271641,0.87398853,0.869230714,0.86936739
1309,0.884262386,0.885614911,0.872824136,0.885691868,0.886323425,0.873223684,0.87690483,0.884462018,0.870884435,0.875566899
1310,0.884938831,0.886034756,0.879896681,0.886153021,0.886052294,0.875501459,0.877828137,0.880705966,0.869768294,0.878886775
1311,0.882959975,0.884875489,0.876133108,0.886571232,0.886294473,0.877741442,0.882214502,0.882952045,0.870816033,0.880872538
1312,0.883446938,0.885030014,0.875813288,0.886272084,0.885710246,0.877784636,0.881754625,0.883516227,0.874847755,0.877268444
1313,0.881458118,0.884393693,0.878820642,0.88615931,0.884562463,0.875614144,0.881434693,0.883077332,0.872154969,0.871815172
1314,0.858279213,0.870129187,0.849519578,0.863446549,0.868007458,0.810500378,0.841487847,0.83536941,0.834837603,0.831858463
1315,0.864791581,0.871718899,0.857847103,0.876067157,0.877195233,0.814520359,0.814339691,0.813096046,0.827705616,0.855659049
1316,0.872272028,0.875386472,0.838532399,0.864183641,0.861324964,0.839770157,0.812391737,0.80335904,0.83481197,0.865105147
1317,0.872803158,0.880240131,0.85894154,0.875181884,0.873944149,0.851750965,0.83380302,0.840739918,0.859369437,0.888504804
1318,0.866508586,0.870674392,0.807234169,0.869310794,0.848704656,0.838626724,0.778757011,0.795940039,0.834456995,0.860357716
1319,0.879630806,0.882858268,0.836036478,0.882213448,0.876692975,0.865170316,0.855069299,0.869004273,0.849176461,0.873352144
1320,0.884236562,0.885413002,0.867676732,0.885348664,0.884777223,0.874036499,0.879837958,0.882081888,0.871110617,0.876542813
1321,0.882231245,0.886420648,0.873931024,0.886417442,0.885649784,0.879808467,0.882264829,0.884815485,0.878122362,0.869840809
1322,0.885238527,0.885736887,0.877945716,0.886207513,0.886067985,0.88300788,0.882054119,0.881728061,0.877049021,0.879266973
1323,0.883530854,0.882814606,0.873134707,0.885545924,0.88586086,0.875974963,0.877665469,0.877070087,0.869322267,0.872789222
1324,0.884290851,0.886174225,0.878667528,0.886493374,0.88643569,0.880260986,0.883312301,0.881038575,0.875588612,0.882152258
1325,0.851191908,0.856601296,0.852689788,0.855314361,0.854820566,0.82990119,0.839506064,0.845122458,0.839553464,0.836946691
1326,0.884399372,0.879642192,0.882642564,0.883846546,0.884777454,0.872426351,0.88076972,0.882716651,0.869909927,0.87863227
1327,0.873346811,0.873386139,0.873029419,0.873392977,0.873390051,0.870936788,0.873103707,0.873300526,0.869687605,0.872360258
1328,0.873360129,0.871850075,0.87247058,0.873321602,0.873400673,0.872693833,0.873122878,0.87290137,0.869415468,0.873179923
1329,0.872789099,0.873400673,0.872913743,0.873342973,0.873399411,0.86827128,0.871892263,0.873013786,0.86887238,0.871098762
1330,0.859826697,0.860569386,0.86019776,0.860601126,0.860604785,0.857745755,0.860459177,0.860597133,0.858515981,0.860324641
1331,0.860591397,0.860605419,0.860540302,0.860437992,0.860606061,0.859845035,0.860588959,0.860606061,0.859509763,0.860087302
1332,0.860606061,0.865319865,0.873272455,0.865611138,0.86933967,0.860582358,0.865930287,0.869509154,0.864466896,0.873384511
1333,0.860477052,0.859736903,0.859802409,0.860496605,0.860420092,0.857181092,0.858918745,0.859954824,0.855560445,0.859162309
1334,0.835562413,0.854325432,0.84766897,0.84442905,0.845957698,0.834879157,0.840731556,0.846611616,0.841323725,0.847077785
